"","PLOT_ID","LATITUDE","LONGITUDE","MAT_C","MAP","ELEVATION","AG_PROD_TREE_TOTAL_AS_CARBON","basal.weighted.CN"
"124",232,40.3777,-123.0563,10.97,1233,1164,423,51.4226237623762
"125",233,40.3636,-123.0623,10.95,1119,1322,330,48.4674964639321
"127",235,40.3906,-123.0978,10.76,1174,1339,141,66.1924
"128",236,40.1329,-120.6875,8.7,689,1885,185,53.5496369636964
"129",237,40.1268,-120.7283,8.96,787,2005,242,60.35785
"130",238,40.13,-120.6806,8.7,689,1877,346,54.772
"132",240,40.1291,-120.6751,8.7,689,1768,431,50.92865
"133",241,40.6456,-121.106,6.07,608,1727,301,42.112
"134",242,40.6308,-121.0992,6.03,566,1727,220,51.0555
"135",243,40.6119,-121.0853,6.01,570,1770,215,52.1484
"136",244,40.6089,-121.0671,5.93,595,1909,150,54.31335
"137",245,40.6107,-121.0538,5.88,617,2018,155,59.22499
"138",246,38.7591,-119.9048,5.02,1028,2584,342,46.536547757717
"139",247,38.7391,-119.9139,5.64,1049,2435,364,48.0435779411765
"140",248,38.7617,-119.9145,5.79,1009,2468,208,43.4795709570957
"141",249,38.7627,-119.8952,5.02,1028,2478,171,55.1498752808989
"142",250,38.7911,-120.017,5.54,1234,2047,208,53.2402
"144",252,38.1765,-119.9778,8.38,1233,1884,384,59.3248409090909
"145",253,37.7844,-118.9868,5.28,459,2488,257,56.262
"146",254,37.832,-118.8566,4.56,595,2707,157,55.568
"147",255,37.8391,-118.9246,4.91,518,2486,89,51.854
"148",256,38.2905,-119.6067,2.43,1316,2722,179,46.3433333333333
"149",257,38.2889,-119.6079,2.43,1316,2758,141,49.8561881188119
"150",258,38.2891,-119.6062,2.43,1316,2751,126,49.33
"151",259,38.1805,-119.9162,7.03,1436,2289,642,53.6374752475248
"152",260,38.2972,-119.6009,3.39,1038,2651,161,46.5531258426966
"153",300,39.0808,-120.742,13.53,1445,1235,359,40.98305
"154",301,39.1209,-120.7397,12.86,1487,1297,349,41.0884333333333
"155",302,39.1209,-120.7397,12.86,1487,1297,370,49.8473505617977
"156",303,39.1205,-120.7211,12.77,1503,1381,298,44.9433333333333
"157",304,39.107,-120.7478,13.24,1467,1261,103,44.79085
"158",305,39.1135,-120.7237,12.77,1503,1366,199,43.65
"160",307,39.1104,-120.7483,13.24,1467,1233,139,50.0856
"161",308,39.0776,-120.7455,13.53,1445,1176,403,54.0036833333333
"162",309,39.0785,-120.749,13.53,1445,1182,111,40.5868181282414
"163",310,39.0683,-120.7498,13.53,1445,1223,250,44.7186166666667
"164",311,39.1018,-120.7446,13.51,1446,1290,193,42.4392
"165",312,39.0853,-120.737,13.49,1433,1264,245,45.363372659176
"166",313,39.0916,-120.7349,13.49,1433,1295,372,44.8304734082397
"167",801,44.4982,-121.6249,7.95,581,914,126,45.2634082397004
"168",802,44.5003,-121.6238,7.95,581,887,96,45.2634082397004
"169",803,44.4982,-121.6239,7.95,581,894,225,45.2634082397004
"170",804,44.4508,-121.6324,7.8,510,917,215,45.2634082397004
"171",805,44.4344,-121.6534,7.83,519,899,195,45.2634082397004
"172",806,44.4526,-121.6691,7.84,521,900,224,45.2634082397004
"175",809,44.4478,-121.6879,7.84,521,917,106,45.2634082397004
"176",810,44.4277,-121.5852,7.9,482,1129,123,45.2634082397004
"177",811,44.4513,-121.5575,7.16,600,1233,214,45.2634082397004
"181",815,44.4309,-121.6629,7.68,563,906,104,45.2634082397004
"182",816,44.4337,-121.6703,7.84,521,904,159,45.2634082397004
"184",818,44.4312,-121.6095,7.47,599,1114,115,49.3770220973783
"185",819,44.4298,-121.6522,7.57,592,899,108,45.2634082397004
